rental_id,branch,vehicle_type,rental_start,rental_end,rental_hours,price,feedback_score,maintenance_required
1,HCM District 1,Car,2025-04-07,2025-04-09 22:00:00,70,1190,2,0
2,Hanoi Center,Electric Scooter,2025-06-02,2025-06-02 06:00:00,6,108,1,1
3,Da Nang City,Bike,2025-10-21,2025-10-23 09:00:00,57,1083,1,0
4,Hanoi Center,Electric Scooter,2025-05-05,2025-05-05 10:00:00,10,150,2,0
5,Hanoi Center,Bike,2025-05-14,2025-05-15 14:00:00,38,456,4,0
6,Hanoi Center,Electric Scooter,2025-10-09,2025-10-10 21:00:00,45,630,5,0
7,HCM District 1,Car,2025-04-16,2025-04-18 18:00:00,66,594,5,1
8,HCM District 1,Electric Scooter,2025-08-30,2025-08-31 07:00:00,31,155,4,0
9,Hanoi Center,Electric Scooter,2025-05-22,2025-05-22 16:00:00,16,176,2,0
10,Da Nang City,Car,2025-03-12,2025-03-12 23:00:00,23,276,1,1
11,Hanoi Center,Car,2025-04-17,2025-04-18 22:00:00,46,828,1,1
12,HCM District 1,Electric Scooter,2025-10-12,2025-10-12 03:00:00,3,15,1,1
13,HCM District 1,Car,2025-02-24,2025-02-24 05:00:00,5,65,2,1
14,Da Nang City,Car,2025-03-15,2025-03-17 18:00:00,66,1056,5,0
15,Da Nang City,Electric Scooter,2025-06-14,2025-06-15 06:00:00,30,510,2,0
16,Da Nang City,Car,2025-08-16,2025-08-16 16:00:00,16,112,2,0
17,Hanoi Center,Car,2025-07-25,2025-07-27 07:00:00,55,935,5,0
18,Hanoi Center,Electric Scooter,2025-07-30,2025-07-30 08:00:00,8,64,5,1
19,Hanoi Center,Electric Scooter,2025-09-16,2025-09-17 15:00:00,39,195,1,1
20,Da Nang City,Car,2025-03-02,2025-03-03 05:00:00,29,551,4,0
21,Hanoi Center,Bike,2025-07-20,2025-07-21 01:00:00,25,425,2,0
22,Da Nang City,Bike,2025-07-18,2025-07-18 07:00:00,7,126,1,1
23,HCM District 1,Bike,2025-01-17,2025-01-18 23:00:00,47,329,5,0
24,Da Nang City,Car,2025-03-01,2025-03-01 01:00:00,1,7,5,0
25,Hanoi Center,Bike,2025-07-29,2025-07-31 06:00:00,54,270,2,0
26,HCM District 1,Electric Scooter,2025-05-13,2025-05-14 12:00:00,36,396,1,1
27,Hanoi Center,Car,2025-02-08,2025-02-09 18:00:00,42,252,1,0
28,Da Nang City,Electric Scooter,2025-08-18,2025-08-20 23:00:00,71,994,2,0
29,HCM District 1,Bike,2025-05-23,2025-05-25 08:00:00,56,560,3,0
30,Hanoi Center,Car,2025-08-20,2025-08-22 07:00:00,55,330,3,0
31,Hanoi Center,Car,2025-03-08,2025-03-08 13:00:00,13,130,1,0
32,Hanoi Center,Car,2025-07-02,2025-07-03 09:00:00,33,198,3,0
33,HCM District 1,Electric Scooter,2025-06-08,2025-06-09 05:00:00,29,406,1,1
34,HCM District 1,Bike,2025-06-11,2025-06-13 05:00:00,53,689,2,0
35,Hanoi Center,Bike,2025-01-15,2025-01-17 10:00:00,58,986,5,0
36,Hanoi Center,Car,2025-02-15,2025-02-15 07:00:00,7,49,3,0
37,Hanoi Center,Bike,2025-10-16,2025-10-17 18:00:00,42,756,2,0
38,Da Nang City,Electric Scooter,2025-09-24,2025-09-25 13:00:00,37,296,5,1
39,HCM District 1,Car,2025-01-20,2025-01-21 23:00:00,47,658,5,0
40,Hanoi Center,Car,2025-06-10,2025-06-11 03:00:00,27,216,4,1
41,HCM District 1,Car,2025-08-12,2025-08-14 21:00:00,69,897,2,0
42,HCM District 1,Bike,2025-10-08,2025-10-09 20:00:00,44,528,5,0
43,Da Nang City,Car,2025-06-19,2025-06-21 21:00:00,69,1380,1,1
44,Hanoi Center,Bike,2025-06-01,2025-06-03 03:00:00,51,561,2,0
45,Hanoi Center,Bike,2025-01-04,2025-01-04 10:00:00,10,130,3,1
46,HCM District 1,Electric Scooter,2025-03-27,2025-03-27 06:00:00,6,42,1,1
47,HCM District 1,Bike,2025-08-30,2025-08-31 00:00:00,24,408,2,1
48,Da Nang City,Electric Scooter,2025-08-11,2025-08-12 12:00:00,36,252,3,0
49,Hanoi Center,Car,2025-04-13,2025-04-13 15:00:00,15,300,1,1
50,Hanoi Center,Bike,2025-05-29,2025-05-30 20:00:00,44,616,3,1
51,HCM District 1,Car,2025-01-03,2025-01-05 06:00:00,54,918,4,0
52,Hanoi Center,Car,2025-07-26,2025-07-28 03:00:00,51,867,5,1
